UnixTime,Exchange
1549922772,3194.17
1549922711,3195.03
1549922702,3195.01
1549922652,3191.79
1549922626,3190.7
1549922575,3189.83
1549922544,3189.83
1549922508,3193.9
1549922506,3191.33
1549922454,3194.75
1549922453,3193.99
1549922242,3193.99
1549922233,3193.97
1549922210,3192.27
1549922193,3191.0
1549922103,3193.19
1549922091,3193.81
1549922089,3193.12
1549922073,3194.72
1549922042,3193.12
1549922006,3193.12
1549921992,3194.76
1549921977,3194.76
1549921931,3193.81
1549921880,3193.71
1549921880,3193.69
1549921867,3194.01
1549921804,3195.55
1549921804,3195.36
1549921802,3193.27
1549921765,3193.68
1549921745,3186.45
1549921645,3186.16
1549921644,3193.44
1549921644,3193.0
1549921643,3192.52
1549921642,3192.52
1549921632,3192.64
1549921618,3192.81
1549921615,3186.11
1549921613,3188.0
1549921573,3192.95
1549921569,3192.98
1549921540,3191.6
1549921526,3188.0
1549921515,3188.0
1549921489,3188.0
1549921487,3189.0
1549921465,3192.82
1549921458,3192.92
1549921456,3190.0
1549921455,3190.0
1549921455,3190.0
1549921455,3190.01
1549921455,3190.01
1549921405,3192.94
1549921381,3192.97
1549921360,3190.01
1549921356,3190.01
1549921353,3190.01
1549921353,3190.01
1549921352,3190.01
1549921299,3193.0
1549921179,3197.2
1549921176,3192.45
1549921176,3192.45
1549921162,3197.16
1549921140,3197.04
1549921121,3198.97
1549921097,3199.48
1549921060,3197.23
1549921055,3190.17
1549921042,3197.45
1549921022,3197.5
1549920999,3197.23
1549920979,3190.02
1549920974,3196.54
1549920942,3196.31
1549920926,3194.39
1549920911,3194.39
1549920882,3194.39
1549920853,3194.39
1549920821,3194.39
1549920819,3194.39
1549920802,3194.39
1549920790,3194.39
1549920783,3194.61
1549920763,3194.61
1549920762,3194.38
1549920761,3194.61
1549920739,3192.92
1549920734,3192.92
1549920712,3192.91
1549920704,3192.91
1549920702,3192.91
1549920693,3192.91
1549920675,3192.92
1549920671,3192.92
1549920652,3194.68
1549920641,3194.68
1549920615,3194.68
1549920613,3194.68
1549920602,3194.48
1549920600,3194.49
1549920594,3190.01
1549920589,3194.57
1549920581,3194.61
1549920574,3194.67
1549920572,3194.67
1549920571,3194.67
1549920554,3194.67
1549920553,3194.67
1549920534,3194.69
1549920522,3194.77
1549920514,3194.79
1549920499,3190.01
1549920499,3190.03
1549920496,3194.91
1549920488,3194.95
1549920464,3195.1
1549920462,3195.19
1549920445,3195.69
1549920433,3195.88
1549920432,3195.89
1549920426,3195.92
1549920416,3195.93
1549920405,3195.94
1549920404,3195.94
1549920381,3195.96
1549920375,3195.96
1549920364,3195.96
1549920354,3195.96
1549920346,3195.96
1549920334,3195.96
1549920315,3195.96
1549920314,3195.96
1549920313,3195.96
1549920300,3190.24
1549920294,3195.97
1549920284,3196.06
1549920275,3196.11
1549920267,3196.16
1549920257,3196.22
1549920253,3196.25
1549920251,3190.25
1549920248,3196.31
1549920225,3196.43
1549920224,3196.43
1549920205,3196.64
1549920191,3196.52
1549920185,3196.52
1549920166,3196.54
1549920165,3196.52
1549920164,3196.54
1549920141,3196.68
1549920139,3196.66
1549920114,3196.64
1549920103,3196.64
1549920095,3196.66
1549920079,3196.7
1549920074,3196.68
1549920072,3196.66
1549920054,3196.5
1549920041,3196.77
1549920035,3196.85
1549920021,3197.0
1549920018,3197.0
1549920014,3197.01
1549920013,3190.28
